ID,Age,Title,Title_ja,Review,Review_ja,Rating,Positive Feedback Count,Division Name,Department Name,Class Name,Recommended IND
0,57,Unique,ユニーク,"Just received and sorry to return. i am 5'9"" i wear a size 8 i ordered the m/l . it way really big and to wide",私は170センチで、サイズ8を着用し、M/Lを注文しました。,4,1,General Petite,Jackets,Jackets,0
1,60,Simple beauty,シンプルな美しさ,This is a tts basic tee with the added flare of the ruffled back peplum and the elegance of the beaded front neckline. the beading is lovely and mine was intact. i bought my normal small based on reviews and the fit was perfect. (34-b) the beige color is a classic neutral and can be worn year round by just adding a jacket or sweater. love it!,TTSのベーシックなTシャツに、フリルのついたバックペプラムとビーズのついたフロントネックのエレガントさが加わっています。(34-b)ベージュはクラシックな中間色で、ジャケットやセーターを合わせれば一年中着られそうです。,5,3,General Petite,Tops,Knits,0
2,35,Love this top!,このトップスが好き!,I am very happy with this shirt. i don't like skin tight clothes. i bought this top a bit loose but it does not look like i am wearing a sack. it is tunic length on me so i have worn it with jeans and boots. i love the way it flows while i walk. very flattering on. would definitely recommend!,このシャツにとても満足しています。私は肌にぴったりした服が好きではありません。このトップは少し緩めに買いましたが、袋を着ているようには見えません。,5,0,General,Tops,Knits,0
3,45,,,"Really flattering cut, this shirt is perfect for fall. got so many compliments the first time i wore it!",このシャツは、秋にぴったりです。,5,0,General Petite,Tops,Blouses,0
4,56,,,Love the fabric & lace on this top. like other reviews said the arm area is tight where the lace meets the fabric which makes the fit uncomfortable. sadly this top is going back. if you have very skinny upper arms this top will fit fine.,他の方のレビューにあるように、腕の部分がレースと生地の境目できつく、着心地が悪くなっています。,4,0,General,Tops,Blouses,0
5,25,"Beautiful design, poor execution",美しいデザイン、悪い実行,"I knew i needed to buy this trench from the moment i saw it on my computer screen, but something prompted me to stop by my local retailer and try it on first. thank goodness for that.

at first glance, i knew i wouldn't be buying this. the construction leaves much to be desired. from the flimsy, single layer of unlined, unstructured fabric, to the thin strip of fabric serving as a belt, i could easily see this being sold at a cheap store for teenage girls where throwaway clothes are a dim","このトレンチは、パソコンの画面で見た瞬間に買わなければならないと思ったのですが、何かのきっかけで近くの小売店に立ち寄り、まず試着してみることにしました。

裏地もなく、構造もない薄っぺらい一重の生地から、ベルトの役割を果たす薄い帯状の生地まで、このトレンチは、使い捨ての服が当たり前である10代の女の子向けの安売り店で売られていることが簡単に想像できました。",1,4,General,Jackets,Outerwear,1
6,25,Adorable on!!!,可愛く装着!!!,This is so cute with a shirt or tee under neath. the look is better with a shirt underneath. very adorable for many occassions. i ordered the petite sizing b/c i like my pants more cropped.,この商品は、シャツやTシャツの下に着てもとてもかわいいです。,5,3,General,Bottoms,Pants,0
7,39,I agree,その通り,"I agree with all the positive reviews about the look, fit and comfort of this dress.  definitely a four season dress.  for winter i plan on wearing wool tights, wool coat and boots and keeping the waist untied.  for me both the medium petite & regular looked good just a bit tight in the shoulders, since that's how my body is built.  i'm keeping the regular hem version.  my stats for fit reference: 5'3"" 140# 36dd, meaty arms/shoulders/back, small hips, no waist/bum.","冬はウールのタイツ、ウールのコートとブーツを着て、ウエストをほどいたままにする予定です。私の場合、ミディアム・プティットとレギュラーはどちらも良い感じでしたが、私の体の構造上、肩が少しきついようです。5'3"" 140# 36dd、肉付きの良い腕・肩・背中、小さめのヒップ、ウエスト・お尻なし。",5,0,General Petite,Dresses,Dresses,0
8,39,Comfy and cute pants,快適でかわいいパンツ,I love these pants. i have them in navy and carbon. the navy color seems to run bigger than the carbon. they are very loose like a boyfriend pant in navy. they loosen up as the day goes on as well. super comfy and great for running errands and taking my little one to the park. i can look cute and feel comfy and i can give my yoga pants a break.,ネイビーとカーボンの2色を持っています。ネイビーはボーイフレンドパンツのようにとてもゆったりしていて、日が経つにつれてゆるくなっていきます。,5,3,General Petite,Bottoms,Pants,0
9,54,These cords are great!,このコード、すごいですね,"These cords are beautiful in the wine color and fit very well! i am 5'1 and got the petite size and felt they were a little to short, i know they are cropped flare but they hit me at a weird place. hindsight, i probable should have ordered then one size up!",このコーデはワインカラーで美しく、とてもよく合います！私は170cmでプチサイズを購入しましたが、少し短いと感じました。クロップドフレアだと分かっていますが、変なところに当たってしまいました。後から考えると、ワンサイズ上を注文するべきだったかもしれません,5,0,General Petite,Bottoms,Jeans,0
10,42,Boxy,ボクシー,Great color and quality but very boxy. even with the drawstring there is no shape going on here.,色も質も良いのですが、とてもボクシーです。ドローストリングがあっても、形が崩れてしまいます。,3,0,General Petite,Bottoms,Pants,1
11,47,Stunningly beautiful,見事なまでの美しさ,"I took a risk and bought this blouse and got a wonderful surprise. i bought my usual size small (34c, 31"" waist) and it was perfect. the details of this blouse are amazing. you cannot see the flecks of copper-gold leaves all over the fabric or the gold threads running down the seam in the front. it is really, really beautiful. the fabric overall is soft and flowy and the sleeves do not stand out off my shoulders in a weird way. there is a soft flow of ruffle down both sides of the shirt. the fro",このブラウスのディテールは素晴らしいです。生地全体に施された銅金箔の斑点や、フロントの縫い目を走る金糸は見ることができません。,5,3,General,Tops,Blouses,0
12,53,Neckline bothers me,ネックラインが気になる,"I like the fabric - very smooth and feels nice on the skin. i like the handkerchief hemline too.i didn't realize how much i would not like the neckline. it feels too tight and too high to me and i'm not sure i could wear this for long without pulling at the neck. also, the fit is loose, maybe a bit too loose for my taste. but it's the neck fit that makes me have to return this dress.",このドレスは、首回りがきつくて、高すぎる。,3,28,General,Dresses,Dresses,1
13,46,"Beautiful, flattering high-quality dress",美しく整った上質なドレス,"This dress is a home run on all accounts. the embroidery is gorgeous, the fabric is high-quality, and the a-line cut is slimming. i found this dress to run true to size. i am 5'11"" and the length hits above the  knee--so it could be longer on shorter heights. i purchased the white dress initially and now have also ordered the navy.",このドレスは、すべてのアカウントでホームランです。刺繍が豪華で、生地は高品質で、Aラインのカットはスリムです。私は170センチ、長さは膝上にヒットするので、それは低い身長に長いかもしれません。,5,3,General,Dresses,Dresses,0
14,45,"Too much fabric, shoulders won't stay down",生地が厚く、肩が落ちない,"This is a gorgeous print, but i found it too fussy for my taste.  it is quite shapeless so i tried doing a half tuck. it looked cute for about 2 seconds, but then i had to worry about keeping the shoulders down.",型崩れしやすいので、ハーフタックにしてみたのですが、2秒くらいは可愛く見えたのですが、その後、肩を落とすのに苦労しました。,2,0,General,Tops,Blouses,1
15,31,Very chic!,とてもシックですね。,This dress looks very good on me! it's a cute way to appear dressy without the extra work to look the part.,このワンピースはとてもよく似合っています！余計なことをしなくてもドレッシーに見えるのがかわいいです。,5,0,General Petite,Dresses,Dresses,0
16,60,"So pretty, but so sheer",とてもきれいだけど、薄っぺらい,"The material and design of this beach dress is so pretty. i was hoping that this could be worn as both a dress and a swim suit cover-up, but it is only the latter. you can't see it from the photos (the model or mine), but it is very sheer.... it can really only be worn over a swimsuit. whatever you wear (or don't) will be completely visible. so if you are looking for just a lovely, unique beach dress, this is it! unfortunately for the price i need more versatility! i will consider it on sale!",このビーチドレスの素材とデザインはとても可愛いです。ドレスとしても水着のカバーアップとしても着られると期待していましたが、後者だけでした。写真（モデルや私）ではわかりませんが、とても薄手です。,4,32,Initmates,Intimate,Lounge,0
17,30,Comfort and style to the max!,快適さとスタイリッシュさを極める,Love this shirt. i am 5'8 and have a slender torso and the small fits perfectly. i love that it's long so you can wear it as a single shirt or use it as an extra layer. i also have a grey druzy necklace to dress this puppy up. purchased it in black and this will be a new staple.,このシャツが大好きです。私は178cmで細身の胴体をしていますが、Sサイズは完璧にフィットします。,5,0,General Petite,Tops,Knits,0
18,36,Adorable all season skirt,オールシーズン使えるかわいいスカート,"The gorgeous coral color of this skirt makes it a great all seasons skirt. the slightly heavier weight of skirt makes it extremely adorable for fall/winter. pair it with some tights, chunky knit and booties, good to go. very flattering one. has a slight a-line cut to it. i love love this one.",このスカートの華やかなコーラルカラーは、オールシーズン使えるスカートです。少し重めのスカートは、秋冬にとても可愛らしくなります。,5,1,General,Bottoms,Skirts,0
