Name,Group,Accuracy,Recall,Precision,F1-score,AUC,Comment,Submitted Time
homa4,キーウィ,90.28,32.48,67.81,43.92,65.22,,
モバイルパックナー_3,コーカサスオオカブト_3,89.66,22.3,67.94,33.58,60.45,,
abc,脱三日坊主,89.61,20.82,68.67,31.95,59.78,ランダムフォレストにしました。,
いごっそう_3,おっちゃん１人,89.43,22.81,63.65,33.58,60.54,さっきのは間違いXGBOOST,
Aka_7,ぐんまサイエンス_7,89.35,21.79,63.31,32.42,60.05,XGBOOST,
いごっそう_4,おっちゃん一人,89.33,25.82,60.53,36.2,61.79,XGBOOST 　調整,
え,Red Bull,89.32,16.44,68.48,26.51,57.72,,
休日,毎日が月曜日,89.32,20.93,63.45,31.48,59.67,,
あ,Red Bull,89.31,15.59,69.54,25.46,57.34,,
い,Red Bull,89.29,14.62,70.8,24.23,56.91,,
Yamakawa,キカガク,89.24,17.8,64.94,27.95,58.26,,
oh_3,2G1T_3,89.24,17.8,64.94,27.95,58.26,,
house2,クラウンローチ,89.24,17.8,64.94,27.95,58.26,,
いごっそう,おっちゃん一人,89.23,17.75,64.73,27.86,58.23,決定木→ランダムサーチ→グリッドサーチで調整,
いごっそう_2,おっちゃん１人,89.23,17.75,64.73,27.86,58.23,XGBOOST,
あな,またひとり,89.22,19.23,63.18,29.48,58.87,"ランダムフォレスト
ランダムサーチ",
Aka_2,ぐんまサイエンス_2,89.21,17.8,64.4,27.9,58.25,ランダムサーチを実施,
Aka_3,ぐんまサイエンス_3,89.21,17.8,64.4,27.9,58.25,グリッドサーチを実施,
はなかっぱ,はなかっぱ,89.21,17.8,64.4,27.9,58.25,,
平日,毎日が月曜日,89.21,17.8,64.4,27.9,58.25,,
もうはじめましてじゃないです,もうはじめましてじゃないです,89.21,17.8,64.4,27.9,58.25,,
モバイルパックナー,コーカサスオオカブト,89.2,18.83,63.17,29.01,58.69,,
oh,2G1T,89.2,17.18,64.81,27.16,57.97,,
iti,スイトウ,89.19,18.43,63.28,28.55,58.51,,
う,Red Bull,89.19,12.63,72.08,21.49,55.99,,
モバイルパックナー_2,コーカサスオオカブト_2,89.19,18.09,63.73,28.18,58.36,,
iti_3,スイトウ_3,89.19,18.43,63.28,28.55,58.51,,
LGB使ってみた,キカガク,89.17,18.03,63.4,28.08,58.32,LightGBM でやってみました,
あな_4,またひとり_4,89.17,19.68,61.9,29.87,59.04,"ランダムフォレスト
ランダムサーチ",
平日_3,毎日が月曜日,89.16,18.77,62.5,28.87,58.64,,
sh_2,スイトウ_2,89.15,18.26,62.7,28.28,58.41,,
平日_2,毎日が月曜日,89.14,18.6,62.29,28.65,58.55,,
あな_3,またひとり_3,89.13,17.52,62.99,27.41,58.08,"ランダムフォレスト
ランダムサーチ
グリットサーチ",
Aka_4,ぐんまサイエンス_4,89.12,19.0,61.62,29.04,58.71,グリッドサーチを微調整,
いごっそう_5,おっちゃん一人,89.1,33.28,55.87,41.71,64.89,XGBOOST 　調整,
3G1,3G,89.09,16.61,63.07,26.29,57.66,がんばりました,
yoshi-t,イニシャルT,88.99,16.21,61.56,25.66,57.43,,
Aka_6,ぐんまサイエンス_6,88.93,18.26,59.01,27.89,58.29,ラベルエンコーディング,
Aka_8,ぐんまサイエンス_8,88.83,18.09,57.5,27.52,58.16,ランダムフォレスト,
太田,甘楽太田,88.78,19.45,56.16,28.9,58.72,,
Abc,脱三日坊主,88.77,18.2,56.44,27.53,58.17,ランダムサーチつかいました。,
homa0,キーウィ,88.76,21.16,55.36,30.62,59.45,,
ハード眼鏡,脱三日坊主_2,88.73,19.8,55.33,29.16,58.84,欠損値等除去して一度出してみました。合ってるかな...?,
アヒル,アヒル＆ウォンバット,88.69,15.02,56.65,23.74,56.75,グリッドサーチでよいモデルを探しました,
XGBつかってみた,キカガク,88.49,25.82,51.83,34.47,61.32,XGBつかってみた,
yt,カワウソ,88.34,1.02,66.67,2.02,50.48,,
全部0と予測,キカガク,88.28,0.0,0.0,0.0,50.0,全部0と予測,2023-06-18 19:27:56
マルノコ２,redbull,88.26,1.42,47.17,2.76,50.61,,
