Name,Group,Accuracy,Recall,Precision,F1-score,AUC,Comment,Submitted Time
homa4,キーウィ,90.28,32.48,67.81,43.92,65.22,,
モバイルパックナー_3,コーカサスオオカブト_3,89.66,22.30,67.94,33.58,60.45,,
abc,脱三日坊主,89.61,20.82,68.67,31.95,59.78,ランダムフォレストにしました。,
いごっそう_3,おっちゃん１人,89.43,22.81,63.65,33.58,60.54,さっきのは間違いXGBOOST,
Aka_7,ぐんまサイエンス_7,89.35,21.79,63.31,32.42,60.05,XGBOOST,
いごっそう_4,おっちゃん一人,89.33,25.82,60.53,36.20,61.79,XGBOOST 　調整,
休日,毎日が月曜日,89.32,20.93,63.45,31.48,59.67,,
え,Red Bull,89.32,16.44,68.48,26.51,57.72,,
あ,Red Bull,89.31,15.59,69.54,25.46,57.34,,
い,Red Bull,89.29,14.62,70.80,24.23,56.91,,
house2,クラウンローチ,89.24,17.80,64.94,27.95,58.26,,
Yamakawa,キカガク,89.24,17.80,64.94,27.95,58.26,,
oh_3,2G1T_3,89.24,17.80,64.94,27.95,58.26,,
いごっそう_2,おっちゃん１人,89.23,17.75,64.73,27.86,58.23,XGBOOST,
いごっそう,おっちゃん一人,89.23,17.75,64.73,27.86,58.23,決定木→ランダムサーチ→グリッドサーチで調整,
あな,またひとり,89.22,19.23,63.18,29.48,58.87,"ランダムフォレスト
ランダムサーチ",
Aka_3,ぐんまサイエンス_3,89.21,17.80,64.40,27.90,58.25,グリッドサーチを実施,
Aka_2,ぐんまサイエンス_2,89.21,17.80,64.40,27.90,58.25,ランダムサーチを実施,
もうはじめましてじゃないです,もうはじめましてじゃないです,89.21,17.80,64.40,27.90,58.25,,
平日,毎日が月曜日,89.21,17.80,64.40,27.90,58.25,,
はなかっぱ,はなかっぱ,89.21,17.80,64.40,27.90,58.25,,
oh,2G1T,89.20,17.18,64.81,27.16,57.97,,
モバイルパックナー,コーカサスオオカブト,89.20,18.83,63.17,29.01,58.69,,
モバイルパックナー_2,コーカサスオオカブト_2,89.19,18.09,63.73,28.18,58.36,,
iti,スイトウ,89.19,18.43,63.28,28.55,58.51,,
iti_3,スイトウ_3,89.19,18.43,63.28,28.55,58.51,,
う,Red Bull,89.19,12.63,72.08,21.49,55.99,,
LGB使ってみた,キカガク,89.17,18.03,63.40,28.08,58.32,LightGBM でやってみました,
あな_4,またひとり_4,89.17,19.68,61.90,29.87,59.04,"ランダムフォレスト
ランダムサーチ",
平日_3,毎日が月曜日,89.16,18.77,62.50,28.87,58.64,,
